

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
026.266  000.033  000.033: require('lvim.core.gitsigns')
026.305  000.035  000.035: require('lvim.core.cmp')
026.394  000.019  000.019: require('cmp.utils.debug')
026.451  000.036  000.036: require('cmp.utils.char')
026.455  000.060  000.024: require('cmp.utils.str')
026.476  000.020  000.020: require('cmp.utils.pattern')
026.549  000.024  000.024: require('cmp.utils.misc')
026.567  000.017  000.017: require('cmp.utils.buffer')
026.593  000.024  000.024: require('cmp.utils.api')
026.596  000.099  000.033: require('cmp.utils.keymap')
026.598  000.121  000.023: require('cmp.utils.feedkeys')
026.625  000.025  000.025: require('cmp.utils.async')
026.720  000.021  000.021: require('cmp.types.cmp')
026.815  000.064  000.064: require('cmp.types.lsp')
026.836  000.019  000.019: require('cmp.types.vim')
026.837  000.190  000.086: require('cmp.types')
026.858  000.020  000.020: require('cmp.utils.cache')
026.860  000.234  000.024: require('cmp.context')
026.934  000.026  000.026: require('cmp.config.mapping')
026.984  000.026  000.026: require('cmp.config.compare')
026.985  000.049  000.023: require('cmp.config.default')
026.995  000.109  000.034: require('cmp.config')
027.046  000.020  000.020: require('cmp.matcher')
027.049  000.053  000.033: require('cmp.entry')
027.053  000.193  000.030: require('cmp.source')
027.097  000.020  000.020: require('cmp.utils.event')
027.149  000.027  000.027: require('cmp.utils.window')
027.150  000.052  000.025: require('cmp.view.docs_view')
027.205  000.024  000.024: require('cmp.utils.autocmd')
027.209  000.058  000.034: require('cmp.view.custom_entries_view')
027.240  000.029  000.029: require('cmp.view.wildmenu_entries_view')
027.267  000.026  000.026: require('cmp.view.native_entries_view')
027.290  000.023  000.023: require('cmp.view.ghost_text_view')
027.295  000.241  000.032: require('cmp.view')
027.377  001.037  000.123: require('cmp.core')
027.537  000.024  000.024: require('cmp.config.sources')
027.559  000.019  000.019: require('cmp.config.window')
027.589  001.283  000.203: require('cmp')
027.715  000.022  000.022: require('luasnip.session')
027.751  000.035  000.035: require('luasnip.util.util')
027.772  000.020  000.020: require('luasnip.util.types')
027.815  000.021  000.021: require('luasnip.util.ext_opts')
027.817  000.044  000.023: require('luasnip.nodes.util')
027.836  000.018  000.018: require('luasnip.util.events')
027.841  000.173  000.034: require('luasnip.nodes.node')
027.920  000.021  000.021: require('luasnip.util.extend_decorator')
027.932  000.090  000.068: require('luasnip.nodes.insertNode')
027.960  000.027  000.027: require('luasnip.nodes.textNode')
027.984  000.023  000.023: require('luasnip.util.mark')
028.313  000.307  000.307: require('luasnip.util._builtin_vars')
028.440  000.455  000.149: require('luasnip.util.environ')
028.474  000.032  000.032: require('luasnip.util.pattern_tokenizer')
028.498  000.023  000.023: require('luasnip.util.dict')
028.528  000.029  000.029: require('luasnip.session.snippet_collection')
028.565  000.937  000.086: require('luasnip.nodes.snippet')
028.617  000.023  000.023: require('luasnip.loaders._caches')
028.654  000.036  000.036: require('luasnip.util.path')
028.674  000.108  000.049: require('luasnip.loaders')
028.735  000.051  000.051: require('luasnip.nodes.functionNode')
028.783  000.047  000.047: require('luasnip.nodes.choiceNode')
028.820  000.035  000.035: require('luasnip.nodes.dynamicNode')
028.867  000.046  000.046: require('luasnip.nodes.restoreNode')
028.956  000.026  000.026: require('luasnip.util.parser.neovim_ast')
029.938  000.031  000.031: require('luasnip.util.directed_graph')
029.944  001.048  000.991: require('luasnip.util.parser.ast_utils')
030.002  000.024  000.024: require('luasnip.util.functions')
030.007  000.062  000.037: require('luasnip.util.parser.ast_parser')
030.085  000.078  000.078: require('luasnip.util.parser.neovim_parser')
030.130  000.043  000.043: require('luasnip.util.str')
030.135  001.266  000.036: require('luasnip.util.parser')
030.209  000.027  000.027: require('luasnip.extras.filetype_functions')
030.242  000.024  000.024: require('luasnip.nodes.absolute_indexer')
030.274  000.030  000.030: require('luasnip.extras')
030.304  000.028  000.028: require('luasnip.extras.fmt')
030.374  000.024  000.024: require('luasnip.extras.conditions')
030.397  000.021  000.021: require('luasnip.extras.conditions.show')
030.401  000.075  000.029: require('luasnip.extras.conditions.expand')
030.402  000.097  000.022: require('luasnip.extras.expand_conditions')
030.427  000.025  000.025: require('luasnip.extras.postfix')
030.606  000.469  000.239: require('luasnip.config')
030.608  003.018  000.059: require('luasnip')
031.019  000.048  000.048: require('lvim.core.dap')
031.062  000.035  000.035: require('lvim.core.terminal')
031.128  000.037  000.037: require('lvim.core.telescope')
031.187  000.036  000.036: require('lvim.core.treesitter')
031.232  000.041  000.041: require('lvim.core.nvimtree')
031.271  000.029  000.029: require('lvim.core.lir')
031.497  000.173  000.173: require('nvim-web-devicons')
031.520  000.021  000.021: require('lir.utils')
031.522  000.220  000.025: require('lir.devicons')
031.544  000.021  000.021: require('lir.history')
031.565  000.020  000.020: require('lir.config')
031.586  000.021  000.021: require('lir.mappings')
031.608  000.021  000.021: require('lir.highlight')
031.635  000.026  000.026: require('lir.smart_cursor')
031.658  000.022  000.022: require('lir.context')
031.681  000.022  000.022: require('lir.vim')
031.684  000.412  000.040: require('lir')
031.719  000.034  000.034: require('lir.actions')
031.745  000.025  000.025: require('lir.mark.actions')
031.797  000.024  000.024: require('lir.clipboard')
031.821  000.023  000.023: require('lir.mark.utils')
031.825  000.079  000.032: require('lir.clipboard.actions')
031.878  000.026  000.026: require('lvim.core.illuminate')
031.919  000.024  000.024: require('lvim.core.indentlines')
031.974  000.038  000.038: require('lvim.core.breadcrumbs')
032.005  000.023  000.023: require('lvim.core.project')
032.045  000.037  000.037: require('lvim.core.bufferline')
032.076  000.027  000.027: require('lvim.core.autopairs')
032.104  000.025  000.025: require('lvim.core.comment')
032.133  000.028  000.028: require('ts_context_commentstring.integrations.comment_nvim')
032.162  000.027  000.027: require('lvim.core.lualine')
032.192  000.028  000.028: require('lvim.core.alpha')
032.232  000.039  000.039: require('lvim.core.alpha.dashboard')
032.257  000.025  000.025: require('lvim.core.alpha.startify')
032.284  000.025  000.025: require('lvim.interface.text')
032.317  000.033  000.033: require('lvim.utils.git')
034.090  000.025  000.025: require('structlog.level')
034.096  000.062  000.037: require('structlog.logger')
034.148  000.024  000.024: require('structlog.formatters.format')
034.177  000.028  000.028: require('structlog.formatters.format_colorizer')
034.179  000.081  000.029: require('structlog.formatters')
034.228  000.025  000.025: require('structlog.processors.timestamper')
034.253  000.024  000.024: require('structlog.processors.stack_writer')
034.284  000.030  000.030: require('structlog.processors.namer')
034.285  000.105  000.027: require('structlog.processors')
034.355  000.022  000.022: require('structlog.formatters.key_value')
034.357  000.048  000.025: require('structlog.sinks.console')
034.384  000.027  000.027: require('structlog.sinks.nvim_notify')
034.408  000.023  000.023: require('structlog.sinks.file')
034.432  000.023  000.023: require('structlog.sinks.rotating_file')
034.433  000.147  000.027: require('structlog.sinks')
034.435  000.455  000.059: require('structlog')
036.073  000.098  000.098: require('alpha.themes.dashboard')
036.146  000.041  000.041: require('lvim.core.mason')
036.198  000.040  000.040: require('lvim.config.settings')
036.975  000.056  000.056: require('lvim.core.autocmds')
037.148  000.058  000.058: require('lvim.lsp.config')
037.237  000.034  000.034: require('lvim.config._deprecated')
037.292  000.050  000.050: require('lvim.plugin-loader')
037.420  000.032  000.032: require('packer.util')
037.442  000.138  000.106: require('packer')
037.691  000.089  000.089: require('packer.log')
037.695  000.118  000.029: require('packer.async')
037.756  000.028  000.028: require('packer.result')
037.758  000.062  000.034: require('packer.jobs')
037.762  000.229  000.049: require('packer.plugin_utils')
037.806  000.038  000.038: require('packer.snapshot')
037.921  000.042  000.042: require('lvim.core.autocmds')
038.216  000.026  000.026: require('colorizer.color')
038.374  000.128  000.128: require('colorizer.trie')
038.486  000.084  000.084: require('colorizer.utils')
038.488  000.112  000.028: require('colorizer.parser.names')
038.517  000.028  000.028: require('colorizer.parser.rgb')
038.543  000.025  000.025: require('colorizer.parser.hsl')
038.595  000.025  000.025: require('colorizer.parser.argb_hex')
038.618  000.022  000.022: require('colorizer.parser.rgba_hex')
038.650  000.031  000.031: require('colorizer.sass')
038.652  000.434  000.063: require('colorizer.matcher')
038.687  000.034  000.034: require('colorizer.tailwind')
038.691  000.540  000.047: require('colorizer.buffer')
038.697  000.588  000.048: require('colorizer')
039.062  000.043  000.043: require('lvim.lsp.manager')
040.679  000.057  000.057: require('mason-core.functional')
040.781  000.024  000.024: require('mason-core.functional.data')
040.785  000.056  000.032: require('mason-core.functional.function')
040.788  000.105  000.049: require('mason-core.functional.table')
040.832  001.755  001.593: require('mason-lspconfig.mappings.server')
040.912  000.022  000.022: require('mason-core.path')
040.944  000.031  000.031: require('mason.settings')
041.009  000.023  000.023: require('mason-core.functional.relation')
041.040  000.025  000.025: require('mason-core.functional.logic')
041.052  000.107  000.058: require('mason-core.platform')
041.064  000.200  000.040: require('mason-core.log')
041.124  000.031  000.031: require('mason-core.async')
041.147  000.022  000.022: require('mason-core.async.uv')
041.152  000.087  000.034: require('mason-core.fs')
041.178  000.025  000.025: require('mason-core.optional')
041.202  000.023  000.023: require('mason-core.EventEmitter')
041.257  000.054  000.054: require('mason-registry.index')
041.294  000.035  000.035: require('mason-core.functional.list')
041.299  000.465  000.042: require('mason-registry')
041.750  000.035  000.035: require('lvim.lsp')
041.805  000.025  000.025: require('cmp_nvim_lsp.source')
041.807  000.054  000.029: require('cmp_nvim_lsp')
042.284  000.126  000.126: require('lspconfig.util')
042.287  000.162  000.037: require('lspconfig.configs')
042.288  000.186  000.024: require('lspconfig')
042.322  000.032  000.032: require('lspconfig.server_configurations.clangd')
042.610  000.039  000.039: require('lvim.keymappings')
043.026  000.386  000.386: require('lvim.plugins')
043.409  000.029  000.029: require('lunar.palette')
043.412  000.139  000.109: require('lunar.theme')
043.414  000.169  000.030: require('lunar')
044.460  000.045  000.045: require('kanagawa')
044.492  000.029  000.029: require('kanagawa.utils')
044.683  000.042  000.042: require('kanagawa.colors')
044.827  000.041  000.041: require('kanagawa.lib.hsluv')
044.830  000.072  000.032: require('kanagawa.lib.color')
044.831  000.128  000.055: require('kanagawa.themes')
044.879  000.033  000.033: require('kanagawa.highlights')
044.915  000.034  000.034: require('kanagawa.highlights.editor')
045.002  000.028  000.028: require('kanagawa.highlights.syntax')
045.040  000.026  000.026: require('kanagawa.highlights.treesitter')
045.168  000.029  000.029: require('kanagawa.highlights.lsp')
